StationID,Date,Time,Temp,RelHum,Rain,SolarRad
10,07/01/20,19:00,19.1,55,0.00,675
10,07/01/20,19:30,19.1,46,0.00,659
10,07/01/20,20:00,19.3,44,0.00,606
10,07/01/20,20:30,19.4,45,0.00,549
10,07/01/20,21:00,19.2,42,0.00,480
10,07/01/20,21:30,19.2,44,0.00,394
10,07/01/20,22:00,18.7,49,0.00,292
10,07/01/20,22:30,17.9,49,0.00,182
10,07/01/20,23:00,17.2,50,0.00,81
10,07/01/20,23:30,16.4,53,0.00,21
10,08/01/20,00:00,15.1,59,0.00,0
10,08/01/20,0:30,14.4,59,0.00,0
10,08/01/20,1:00,14.1,61,0.00,0
10,08/01/20,1:30,13.7,62,0.00,0
10,08/01/20,2:00,13.1,61,0.00,0
10,08/01/20,2:30,12.5,64,0.00,0
10,08/01/20,3:00,12.2,62,0.00,0
10,08/01/20,3:30,11.4,65,0.00,0
10,08/01/20,4:00,10.8,63,0.00,0
10,08/01/20,4:30,10.5,62,0.00,0
10,08/01/20,5:00,10.1,61,0.00,0
10,08/01/20,5:30,8.9,69,0.00,0
10,08/01/20,6:00,6.4,79,0.00,0
10,08/01/20,6:30,6.2,82,0.00,0
10,08/01/20,7:00,7.9,70,0.00,0
10,08/01/20,7:30,9.2,56,0.00,0
10,08/01/20,8:00,9.2,57,0.00,0
10,08/01/20,8:30,8.9,57,0.00,0
10,08/01/20,9:00,7.6,69,0.00,0
10,08/01/20,9:30,8.1,63,0.00,0
10,08/01/20,10:00,7.1,71,0.00,0
10,08/01/20,10:30,8.2,65,0.00,0
10,08/01/20,11:00,7.8,67,0.00,0
10,08/01/20,11:30,7.8,68,0.00,0
10,08/01/20,12:00,7.4,69,0.00,0
10,08/01/20,12:30,7.4,71,0.00,0
10,08/01/20,13:00,7.2,72,0.00,6
10,08/01/20,13:30,7.4,73,0.00,28
10,08/01/20,14:00,8.0,72,0.00,122
10,08/01/20,14:30,8.7,70,0.00,237
10,08/01/20,15:00,8.9,67,0.00,311
10,08/01/20,15:30,9.6,66,0.00,379
10,08/01/20,16:00,9.8,62,0.00,545
10,08/01/20,16:30,10.0,62,0.00,442
10,08/01/20,17:00,10.6,57,0.00,719
10,08/01/20,17:30,11.5,52,0.00,742
10,08/01/20,18:00,11.7,50,0.00,772
10,08/01/20,18:30,11.9,45,0.00,778
10,08/01/20,19:00,12.2,45,0.00,758
10,08/01/20,19:30,12.4,41,0.00,717
10,08/01/20,20:00,12.8,43,0.00,675
10,08/01/20,20:30,12.6,37,0.00,617
10,08/01/20,21:00,12.3,37,0.00,537
10,08/01/20,21:30,12.4,37,0.00,437
10,08/01/20,22:00,12.3,39,0.00,327
10,08/01/20,22:30,12.0,35,0.00,242
10,08/01/20,23:00,11.5,37,0.00,91
10,08/01/20,23:30,10.6,41,0.00,31
