StationID,date,avg_temp_soil_10cm_C,min_temp_soil_10cm_C,max_temp_soil_10cm_C,avg_temp_air_60cm_C,min_temp_air_60cm_C,max_temp_air_60cm_C,avg_temp_air_2m_C,min_temp_air_2m_C,max_temp_air_2m_C,avg_temp_air_10m_C,min_temp_air_10m_C,max_temp_air_10m_C,avg_rh_2m_pct,avg_temp_dp_2m_C,min_temp_dp_2m_C,max_temp_dp_2m_C,sum_rain_2m_inches,avg_wind_speed_10m_mph,wind_speed_max_10m_mph,wind_direction_10m_deg,avg_rfd_2m_wm2,trf_2m_MJm2,ETo_grass_mm,num_observations
110,2009-01-01,13.362,12.73,13.92,7.791,-0.617,13.93,7.023,-0.733,12.53,7.629,0.245,12.92,67.079,1.234,-4.255,7.53,0,8.286,13.971,88.229,95.387,8.24145,1.104,96
110,2009-01-02,14.178,13.37,15.11,15.605,8.16,21.76,14.907,7.64,20.44,15.561,8.55,20.72,85.383,12.444,4.042,17.704,0.063,6.839,14.711,145.639,81.773,7.06519,1.404,96
110,2009-01-03,15.893,15.13,16.59,18.408,14.98,23.36,17.713,14.44,22.08,18.276,14.98,22.41,92.94,16.52,13.793,19.381,0.995,6.722,15.84,145.462,64.121,5.48238,1.367,95
110,2009-01-04,16.321,15.72,17.08,17.439,12.43,23.87,16.831,12.13,22.4,17.678,13.92,22.79,90.078,15.092,11.51,17.502,0.073,4.937,14.901,141.048,103.969,8.98296,1.418,96
110,2009-01-05,16.915,16.25,17.67,19.321,14.64,24.49,18.487,14.33,22.83,19.012,15.05,22.94,90.825,16.89,13.709,18.519,0.009,7.307,14.311,165.219,123.557,10.6753,1.515,96
110,2009-01-06,17.914,17.45,18.37,21.442,16.02,24.01,20.811,15.28,22.94,21.326,15.73,23.16,88.828,18.875,14.368,19.671,0.407,14.719,24.625,189.7,59.568,5.14664,1.534,96
110,2009-01-07,16.988,15.58,18.35,12.645,6.176,17.15,-60.897,-6999,15.95,13.069,8.31,16.3,70.32,-81.964,-8448.47,13.624,0.155,8.966,21.237,250.777,151.764,13.1124,4.55111e+011,96
110,2009-01-08,15.141,14.58,15.66,12.669,4.56,21.68,12.547,4.414,20.67,13.967,7.43,20.95,66.847,5.72,2.277,10.494,0,6.776,17.209,210.685,148.837,12.8595,1.311,96
110,2009-01-09,14.485,13.81,15.06,11.555,3.514,20.27,10.98,3.525,18.62,12.148,5.947,18.72,70.745,5.488,0.149,11.476,0,6.658,21.357,104.092,150.876,13.0357,1.215,96
110,2009-01-10,15.381,14.63,16.31,18.113,12.87,20.7,17.564,12.61,20.24,18.264,13.86,20.86,92.939,16.404,11.733,18.962,0.145,7.974,13.562,165.461,22.891,1.9778,1.288,96
