StationID,date,avg_temp_soil_10cm_C,min_temp_soil_10cm_C,max_temp_soil_10cm_C,avg_temp_air_60cm_C,min_temp_air_60cm_C,max_temp_air_60cm_C,avg_temp_air_2m_C,min_temp_air_2m_C,max_temp_air_2m_C,avg_temp_air_10m_C,min_temp_air_10m_C,max_temp_air_10m_C,avg_rh_2m_pct,avg_temp_dp_2m_C,min_temp_dp_2m_C,max_temp_dp_2m_C,sum_rain_2m_inches,avg_wind_speed_10m_mph,wind_speed_max_10m_mph,wind_direction_10m_deg,avg_rfd_2m_wm2,trf_2m_MJm2,ETo_grass_mm,num_observations
110,2008-01-01,12.468,11.46,13.23,7.629,2.684,11.14,7.168,2.521,10.55,7.885,3.229,11.4,52.635,-2.481,-8.158,7.287,0,11.482,18.339,322.625,125.253,10.8218,0.961,96
110,2008-01-02,10.258,9.24,11.42,0.196,-3.771,3.438,-0.36,-3.937,2.371,-0.019,-3.465,3.047,45.546,-10.824,-12.386,-6.864,0,10.948,16.24,334,112.83,9.74849,0.697,96
110,2008-01-03,8.833,7.97,9.63,-0.848,-6.715,6.739,-1.385,-6.979,5.408,-0.444,-6.537,5.695,55.632,-9.649,-11.657,-4.63,0,5.586,11.373,128.268,131.854,11.3922,3.67519e+011,96
110,2008-01-04,8.997,8.06,10.15,3.55,-2.811,12.98,-142.655,-6999,11.64,4.337,-1.902,11.9,58.414,-347.434,-17508.5,-1.551,0,6.125,10.503,85.79,145.985,12.6131,4.33711e+011,96
110,2008-01-05,10.018,8.74,11.46,10.219,1.429,18.92,9.745,1.385,17.9,10.548,2.855,17.71,78.037,6.046,-2.569,12.382,0,8.124,14.721,108.097,117.713,10.1704,1.294,96
110,2008-01-06,11.876,10.66,13.18,15.236,8.38,22.86,14.703,8.33,21.76,15.499,9.32,21.55,86.584,12.282,7.591,15.155,0,6.398,12.742,129.485,131.653,11.2563,1.395,95
110,2008-01-07,13.797,12.96,14.88,16.749,11.53,24.03,16.242,11.93,22.99,17.015,13.93,22.64,86.461,13.737,11.042,15.475,0,7.669,15.87,129.664,101.394,8.76045,1.514,96
110,2008-01-08,14.691,13.69,15.63,18.809,14.63,24.09,18.123,14.12,23.05,18.604,14.93,22.67,89.636,16.308,13.378,18.609,0,8.726,14.191,142.386,66.687,5.76179,1.47,96
110,2008-01-09,16.357,15.64,17.23,20.217,16.22,25.9,19.51,15.56,24.61,19.987,16,24.57,86.582,17.09,13.822,18.597,0,6.331,37.447,178.604,93.125,8.046,1.552,96
110,2008-01-10,17.016,16.55,17.51,20.343,18.06,23.03,19.715,17.52,22,20.165,18.13,21.91,88.752,17.75,16.791,18.667,0,11.775,21.966,169.343,61.215,5.28898,1.331,96
110,2008-01-11,16.442,15.04,17.3,12.693,6.991,20.45,12.116,7.06,19.96,12.893,8.16,20.56,78.211,8.343,4.12,18.002,0.47,6.181,15.011,246.185,41.07,3.51146,1.469,95
110,2008-01-12,14.433,13.65,15.19,9.986,4.991,18.83,9.445,4.772,17.31,10.77,5.455,17.7,71.926,4.2,2.066,7.365,0,4.573,10.054,102.965,141.846,12.2555,1.167,96
110,2008-01-13,13.486,12.77,14.21,10.17,3.125,17.78,9.7,2.891,16.56,10.825,4.611,16.85,63.722,2.457,-0.538,4.54,0,6.039,12.632,302.443,136.692,11.8102,1.178,96
110,2008-01-14,12.386,11.72,13.1,6.146,0.989,14.04,5.727,0.722,12.74,6.783,1.234,13.09,58.225,-2.465,-4.461,-0.457,0.009,6.306,12.202,311.134,139.952,12.0919,1.025,96
